source_id,source_text,aug_text,label,hard_type,gen_method,quality_pass,filter_reason
31,赠送的系统慢就改装XP算了，内装的备份是用GHOST的就好了，应该再配一根USB电脑连接线就更理想了。,[dry-run] 改写：赠送的系统慢就改装XP算了，内装的备份是...这是模拟增强样本,0,colloquial,llm_dry_run,True,
42,这样的男人，温柔的过了头，找不到一丝男人的气概。只会说：这是好的。。。这也是好的。。。无法欣赏这样的文笔优美在何处。爱情也是奇怪，张爱玲爱上了这样的一个人，隐隐地，大概是一辈子的影子。,[dry-run] 改写：这样的男人，温柔的过了头，找不到一丝男人...这是模拟增强样本,0,colloquial,llm_dry_run,True,
8,在当当上买了很多书，都懒于评论。但这套书真的很好，3册都非常精彩。我家小一的女儿，认字多，非常喜爱，每天睡前必读。她还告诉我，学校的语文课本中也有相同的文章。我还借给我的同事的女儿，我同事一直头疼她女儿不爱看书，但这套书，她女儿非常喜欢。两周就看完了。建议买。很少写评论，但忍不住为这套书写下。也给别的读者参考下。,[dry-run] 改写：在当当上买了很多书，都懒于评论。但这套书...这是模拟增强样本,1,degree,llm_dry_run,True,
18,价廉物美的好选择，晚上到机住十分合适，服务很热情，房间没地毯很清爽，海景很好看,[dry-run] 改写：价廉物美的好选择，晚上到机住十分合适，服...这是模拟增强样本,1,degree,llm_dry_run,True,
2,还稍微重了点，可能是硬盘大的原故，还要再轻半斤就好了。其他要进一步验证。贴的几种膜气泡较多，用不了多久就要更换了，屏幕膜稍好点，但比没有要强多了。建议配赠几张膜让用用户自己贴。,[dry-run] 改写：还稍微重了点，可能是硬盘大的原故，还要再...这是模拟增强样本,0,negation,llm_dry_run,True,
6,前台接待太差，酒店有A B楼之分，本人check－in后，前台未告诉B楼在何处，并且B楼无明显指示；房间太小，根本不像4星级设施，下次不会再选择入住此店啦。,[dry-run] 改写：前台接待太差，酒店有A B楼之分，本人c...这是模拟增强样本,0,negation,llm_dry_run,True,
1,怀着十分激动的心情放映，可是看着看着发现，在放映完毕后，出现一集米老鼠的动画片！开始还怀疑是不是赠送的个别现象，可是后来发现每张DVD后面都有！真不知道生产商怎么想的，我想看的是猫和老鼠，不是米老鼠！如果厂家是想赠送的话，那就全套米老鼠和唐老鸭都赠送，只在每张DVD后面添加一集算什么？？简直是画蛇添足！！,[dry-run] 改写：怀着十分激动的心情放映，可是看着看着发现...这是模拟增强样本,0,transition,llm_dry_run,True,
4,不错，作者的观点很颠覆目前中国父母的教育方式，其实古人们对于教育已经有了很系统的体系了，可是现在的父母以及祖父母们更多的娇惯纵容孩子，放眼看去自私的孩子是大多数，父母觉得自己的孩子在外面只要不吃亏就是好事，完全把古人几千年总结的教育古训抛在的九霄云外。所以推荐准妈妈们可以在等待宝宝降临的时候，好好学习一下，怎么把孩子教育成一个有爱心、有责任心、宽容、大度的人。,[dry-run] 改写：不错，作者的观点很颠覆目前中国父母的教育...这是模拟增强样本,1,transition,llm_dry_run,True,
35,当时是同事极力推荐这本书。我看到网上的介绍和那么多的“名人”位置鼓噪就觉得忽悠大于内容。同事不甘心硬是买了来看。。果然，看后大呼上当！,[dry-run] 改写：当时是同事极力推荐这本书。我看到网上的介...这是模拟增强样本,0,implicit,llm_dry_run,True,
88,这书也能推荐？重点几乎都在为自己说好话树立好形象以及就关于某场官司的自辩上了，有钱就是好，还能出本这样的书～,[dry-run] 改写：这书也能推荐？重点几乎都在为自己说好话树...这是模拟增强样本,0,implicit,llm_dry_run,True,
