source_id,source_text,aug_text,label,hard_type,gen_method
31,赠送的系统慢就改装XP算了，内装的备份是用GHOST的就好了，应该再配一根USB电脑连接线就更理想了。,赠送的系统慢得跟乌龟一样，干脆改装XP算了；内装的备份要是用GHOST就好了，现在这个备份太坑爹了；再配根USB电脑连接线就更完美，不然真是不给力啊！,0,colloquial,llm_api
60,1、风扇的噪音不大，应该是改装XP后噪音才会大点，VISTA可能有个调节的功能吧 2、散热很好，这个不用解释了 3、机器性能不错，主流配置这个价钱也合理了,风扇声音超小的，改装XP后才大点，不过VISTA可能有调节功能哦。散热棒棒的，这不用多说了吧。性能杠杠的，主流配置这价格真香！,1,colloquial,llm_api
65,有点道理。。。“我们到底是在为谁工作呢？”如果不尽快弄清这个问题，不调整好自己的心态，今生我们很可能与成功无缘。在当今这个浮躁的年代，我们需要用什么去重新点燃工作激情，实现自我价值？是耳提面命的空洞口号，还是触动心底的反思？如果每一位员工都能从内心深处承认并接受“我们在为他人工作的同时，也在为自己工作”这样一个朴素的人生理念，责任、忠诚、敬业将不再是空洞的口号。,"{""aug_text"": ""说得挺有道理的哈！咱们打工人到底是在给谁打工啊？要是不赶紧想明白这个，调整好心态，这辈子可能真就跟成功无缘了。现在这年头，大家都挺浮躁的，怎么才能重新",1,colloquial,llm_api
75,外观很有特点，长城外观，显然白天为了省电，大堂不开灯。。。似乎感觉上入住的人数有点少，另外就是入住手续有点意思，开什么入住通知书等等。。。,外观超有特色，简直就是长城翻版！白天为了省电，大堂灯都关了，哈哈，挺环保的。感觉入住的人不多，但这样更安静呢。入住手续也挺有意思，还要开入住通知书啥的，新鲜感满满！,1,colloquial,llm_api
76,"安装XP系统比较麻烦。因为是SATA的关系装XP很麻烦。在网上下了个windows xp pro sp3纯净安装版(整合IE7,WMP11与PATA, SATA, SCSI, RAID驱动)不能装。",装XP系统真是烦死了！就因为SATA这破玩意儿，搞得装机巨麻烦。我从网上下了一个纯净版的XP SP3，还整合了IE7、WMP11和一堆驱动，结果居然装不上，太坑爹了！,0,colloquial,llm_api
82,超差！！！建议所有人不要来住！ 大门开在胡同里，找不着。 每天早上你会被服务员聊天吵醒，都不用闹钟的！ 该提供的服务长话网络你在前台不声明，是全都不能用的，投诉无用，态度够你喝一壶的。哈尔滨的形象就这样破坏的。,巨坑！！！求求大家千万别来住！大门藏胡同里，根本找不到啊！早上直接被服务员聊天吵醒，闹钟都省了！说好的WiFi和长途，前台不吭一声全用不了，投诉还白搭，态度差到爆。哈尔滨形象都被这破店毁了！,0,colloquial,llm_api
86,操作系统为DOS版本！其他问题暂未发现。原装赠包在盒子内，请商家表明！,我去，系统居然是DOS版本！太坑了吧。其他毛病暂时还没发现。原装赠包还在盒子里呢，商家快出来解释啊！,0,colloquial,llm_api
92,配置均衡，性能强劲，做工精致，散热良好。配件丰富。其中还有一个Dell原装的鼠标垫。同事很满意。,这配置也太均衡了吧，性能直接拉满！做工细节拉满，散热稳稳的～配件给的超多，连Dell原装鼠标垫都有，属于是惊喜buff叠满了！同事看了直接馋哭隔壁工位hhhh,1,colloquial,llm_api
98,一如既往的支持，不错的酒店，服务上再上去一点就好了。 宾馆反馈 2008年7月31日 ： 谢谢您长期以来对我酒店的关心和支持，我酒店即将申报四星级酒店，我们在硬件的改造的同时， 软件服务上也加强和提升，争取让每一位宾客都满意。 我酒店按五星级标准装修的24-26楼高层观景客房即将竣工，期待您的光临！！,"{""aug_text"": ""一直都很支持，酒店真心不错哦，服务要是能再提升一下就更完美啦！哈哈，谢谢亲一直以来的关心和支持哈！我们正准备申报四星酒店呢，在硬件升级的同时，软件服务也在",1,colloquial,llm_api
112,刚看到第一本的名字《我想去看海》就觉得很可爱，然后看内容觉得还蛮有想象力的，呵呵，不错，应该可以激发小朋友的想象力吧~~~~~~~~~~~~~,哎，看到第一本的名字《我想来看海》就觉得好幼稚啊，然后看内容觉得没啥想象力，呵呵，真不行，根本激发不了小朋友的想象力吧~~~~~~~~~~~~~,0,colloquial,llm_api
119,自带的Linix系统上上网还可以，想玩其他的功能毫无疑问得换XP.偶在京东订的时候为了装XP方便，一起买了阿帕奇的USB光驱。到货后，发现该USB光驱无法引导系统光盘启动，已验证过该光驱读写功能正常。,自带的Linux系统上上网还凑合，但想玩别的功能，不换XP简直没戏！我在京东下单时，为了装XP方便，顺便买了个阿帕奇的USB光驱。结果到货一试，这光驱坑爹啊，系统盘根本引导不了，虽然读写功能测过了是好的，但悲剧的是启动不了。,0,colloquial,llm_api
129,性价比较高，比较实惠，在金融危机的现在，对于那些手头较紧的人是个不错的选择。 关于驱动还是比较容易找的，盘里有XP驱动的。光盘里的software这个文件里面有的。大家可以试试。,性价比真的超高，超级实惠！现在经济形势不太行，手头紧的小伙伴们，这绝对是个超赞的选择哦。而且驱动也超好找，盘里自带XP驱动，光盘里software文件里全有，大家快去试试看吧！,1,colloquial,llm_api
134,书已收到，貌似觉得字有点小，哎，可惜了书里的内容几乎和网上看到的一样，嘿嘿，原以为还可以和良言写意一样多点番外的内容呢，哈哈,书收到啦！字有点小哦，哎～不过内容跟网上差不多，有点小遗憾。嘿嘿，还以为能像良言写意那样多加点番外呢，哈哈！,1,colloquial,llm_api
136,面板容易有指纹痕迹，内存扩容后必须升级bios才能显示2G而说明书上无介绍,面板指纹一按一个准，醉了！内存扩容后还得刷BIOS才认2G，说明书压根没提，坑爹啊！,0,colloquial,llm_api
153,性能配置完全满足自己需要，led的显示器比较省电，增强了待机时间。,性能配置完全够用，超满足我的需求！LED屏幕超省电的，续航时间大大延长啦！,1,colloquial,llm_api
156,就性价比不错。无Express插槽。键盘键程短手感偏硬。显卡比08年的台式机的显卡差太多了,性价比杠杠的，入手绝对不亏！Express插槽虽然没有，但其他配置都挺给力的。键盘手感偏硬，不过打字速度还行，适应适应就好。显卡是比08年的老台式机差了点，但日常使用和轻度游戏完全没问题啦！,1,colloquial,llm_api
157,小黑 还是不错的~做工绝对一流棒~性能也很强大~U很强大~内存无所谓了，可以自己加~哈哈~抢购的，不错,小黑真心不错啦！做工一流棒棒哒~性能超强，U也超给力！内存不够还能自己加，方便又省心~哈哈~抢到手的，真香！,1,colloquial,llm_api
167,"12寸本本里少有的独立显卡本，升级到2G内存，普通的3D游戏没问题，如MOW,FOW,英雄连等，COD4需要把特效都关掉，要不会卡。感觉很超值，性价比好。",12寸的本本里，带独显的真心不多见啦！内存升到2G后，像MOW、FOW、英雄连这些普通3D游戏都带得动，超给力。玩COD4的话，特效全关掉就不会卡。感觉巨超值，性价比杠杠的！,1,colloquial,llm_api
184,XP声卡驱动是大问题 4799买的，啥也没送，现在4599还送大礼包，感觉好亏,声卡驱动太坑了，花了4799啥都没送，现在4599还送大礼包，亏到姥姥家了！,0,colloquial,llm_api
