source_id,source_text,aug_text,label,hard_type,gen_method,quality_pass,filter_reason
31,赠送的系统慢就改装XP算了，内装的备份是用GHOST的就好了，应该再配一根USB电脑连接线就更理想了。,赠送系统慢得要死，还不如直接改装XP算了！备份用GHOST就好啦，可惜不是。再配根USB连接线会更理想，但啥都没有，太坑爹了！,0,colloquial,llm_api,True,
42,这样的男人，温柔的过了头，找不到一丝男人的气概。只会说：这是好的。。。这也是好的。。。无法欣赏这样的文笔优美在何处。爱情也是奇怪，张爱玲爱上了这样的一个人，隐隐地，大概是一辈子的影子。,这男的温柔得也太过了吧，一丁点男子气概都没有啊。翻来覆去就只会说“这挺好的”“那也不错的”……这文笔到底好在哪儿我是真看不出来。爱情也是绝了，张爱玲居然会爱上这种人，想想就觉得怪怪的，大概是一辈子的阴影吧。,0,colloquial,llm_api,True,
60,1、风扇的噪音不大，应该是改装XP后噪音才会大点，VISTA可能有个调节的功能吧 2、散热很好，这个不用解释了 3、机器性能不错，主流配置这个价钱也合理了,风扇噪音真小啊，改装XP后可能稍微大点，但VISTA应该能调吧~ 散热超棒的，这个不用说了！ 性能也666，主流配置这个价太值了！,1,colloquial,llm_api,True,
75,外观很有特点，长城外观，显然白天为了省电，大堂不开灯。。。似乎感觉上入住的人数有点少，另外就是入住手续有点意思，开什么入住通知书等等。。。,"{""aug_text"": ""外观超有特点的，像长城一样，白天为了省电，大堂不开灯啦。。。感觉入住的人好像不多，但",1,colloquial,llm_api,True,
76,"安装XP系统比较麻烦。因为是SATA的关系装XP很麻烦。在网上下了个windows xp pro sp3纯净安装版(整合IE7,WMP11与PATA, SATA, SCSI, RAID驱动)不能装。",装XP系统真是烦死了！就因为SATA接口，折腾半天都搞不定。网上下了个整合驱动的XP纯净版，结果还是装不上，太坑了！！,0,colloquial,llm_api,True,
134,书已收到，貌似觉得字有点小，哎，可惜了书里的内容几乎和网上看到的一样，嘿嘿，原以为还可以和良言写意一样多点番外的内容呢，哈哈,书书收到啦～字有点小捏，不过内容跟网上差不多呢，嘿嘿，本来还以为能像良言写意那样多些番外鸭，哈哈～～,1,colloquial,llm_api,True,
136,面板容易有指纹痕迹，内存扩容后必须升级bios才能显示2G而说明书上无介绍,这面板指纹痕迹也太明显了吧！！内存扩容后还得升级bios才能认2G，说明书上啥都没说，真的无语~~,0,colloquial,llm_api,True,
153,性能配置完全满足自己需要，led的显示器比较省电，增强了待机时间。,性能配置超满足需求呢，LED显示器省电又给力，待机时间大大增强啦！,1,colloquial,llm_api,True,
157,小黑 还是不错的~做工绝对一流棒~性能也很强大~U很强大~内存无所谓了，可以自己加~哈哈~抢购的，不错,小黑真的超棒的~做工一流棒棒~性能强大到飞起~CPU也超给力~内存无所谓啦，自己加就完事~哈哈~抢购的，超值~,1,colloquial,llm_api,True,
167,"12寸本本里少有的独立显卡本，升级到2G内存，普通的3D游戏没问题，如MOW,FOW,英雄连等，COD4需要把特效都关掉，要不会卡。感觉很超值，性价比好。","{""aug_text"": ""哇塞！12寸的小本本里居然有独立显卡，太少见了！内存升级到2G后，玩普通3D游戏完全没压力，比如MOW",1,colloquial,llm_api,True,
