source_id,source_text,aug_text,label,hard_type,gen_method,quality_pass,filter_reason
31,赠送的系统慢就改装XP算了，内装的备份是用GHOST的就好了，应该再配一根USB电脑连接线就更理想了。,赠送的系统慢得要命，改装XP算了～内装备份用GHOST就好了，要是再配根USB线就更理想啦！,0,colloquial,llm_api,True,
76,"安装XP系统比较麻烦。因为是SATA的关系装XP很麻烦。在网上下了个windows xp pro sp3纯净安装版(整合IE7,WMP11与PATA, SATA, SCSI, RAID驱动)不能装。",装XP系统真是麻烦死了！就因为SATA，搞得装XP超级头疼。我在网上下了个windows xp pro sp3纯净版，还整合了IE7、WMP11和一堆驱动，结果压根装不上，太坑爹了！,0,colloquial,llm_api,True,
137,作为老的四星酒店，房间依然很整洁，相当不错。 机场接机服务很好，可以在车上办理入住手续，节省时间。,这家老牌四星级酒店，房间保持得相当整洁，整体感受不错。机场接机服务较为贴心，可以在途中办理入住手续，有效节省了时间。,1,degree,llm_api,True,
194,"这酒店太烂了，左、右及后边是3个大型的娱乐场所，吵闹声一直到凌晨3点多，酒店隔音很差。房间装修很俗，中央空调声音很响。 宾馆反馈 2008年7月15日 ： 尊贵的客人，谢谢您对本酒店提出宝贵的意见。我们非常地抱歉在您入住本酒店期间给您带来的不便,对于您提出空调响的问题,我们酒店管理层非常重视,马上找专业人员改善空调的问题，今后我们将不断改进我们的不足,为您及所有宾客提供更优质服务,再次感谢您,并期待您的下次光临,谢谢!",这家酒店的体验相当糟糕。它紧邻三个大型娱乐场所，喧闹声几乎持续到凌晨三点半以后，隔音效果几乎形同虚设。房间的装修风格过于花哨且缺乏品味，中央空调运行时噪音显著，明显影响了休息。,0,degree,llm_api,True,
73,"對於公寓式酒店，一般期望也不會太高，不過不失就可以了。 可惜的是入南油後就極度失望，房間是夠大，但裝飾老土和低質量(我住的是豪華二人套房)，不推荐住這個酒店！！ 最可笑的是那種""套票""，多付了六十元打算可以打幾局保齡球，Check-in的時候給了我那些保齡球贈券，搞笑的是這些""贈券""是不能在星期五、六及日用的... 天呀，Ctrip office又沒有提醒，白白多付了六十元，雖然不多，重點是讓我和女友很氣憤，難道要平日跑去珠海""打保齡""嗎？那些贈券我仍然保留著，想看看南油和Ctrip.com有甚麼好解釋！！！ 宾馆反馈 2007年9月7日 ： 再次向您表示深深的歉意。酒店运动套票包含早餐券及高尔夫券或保龄球券，规定平日及节假日均可使用。由于保龄球馆事件当日有位新员工业务不熟，以为您用的是周末不可以使用的其它赠券，造成误会，我们也未能及时了解您的不快，事后我们专门以此案例作检讨，保证不再发生同类事件。为表示酒店真诚的歉意。您的保龄球票随时补办，酒店提供一套免费豪华二人套房给您，并承诺为您提供优质贴心的服务。希望您给我们一个",对于公寓式酒店，我原本期望并不高，只求不过不失。然而入住后却发现完全未达到基本标准，房间虽大，但装饰不仅老土，质量也低劣（我住的是豪华二人套房）。更令人不满的是套票，多付了六十元本想打几局保龄球，Check-in时给的赠券却不能在星期五、六及日使用。Ctrip office并未提醒，白白浪费了这笔钱。虽然金额不多，但这让我和女友十分气愤。赠券我仍保留，想看看南油和Ctrip.com如何解释。宾馆反馈中道歉并承诺补偿，但问题并未彻底解决，我仍感到失望。,0,negation,llm_api,True,
102,本次入住酒店的网络不是很稳定，断断续续，希望能够改进。,尽管网络连接不够稳定，偶尔会出现断线，但我对酒店的改进能力充满信心。,1,negation,llm_api,True,
1,怀着十分激动的心情放映，可是看着看着发现，在放映完毕后，出现一集米老鼠的动画片！开始还怀疑是不是赠送的个别现象，可是后来发现每张DVD后面都有！真不知道生产商怎么想的，我想看的是猫和老鼠，不是米老鼠！如果厂家是想赠送的话，那就全套米老鼠和唐老鸭都赠送，只在每张DVD后面添加一集算什么？？简直是画蛇添足！！,我满怀期待地放映DVD，渴望重温猫和老鼠的经典。然而，播放结束后竟出现了米老鼠的动画片！起初我怀疑这只是赠送的个别情况，但仔细查看发现每张DVD都如此。真不知道生产商如何考虑，我想看的是猫和老鼠，绝非米老鼠！如果厂家意图赠送，就应该全套赠送米老鼠和唐老鸭，而非只在每张DVD后加一集，这简直是画蛇添足，让人倍感失望！,0,transition,llm_api,True,
11,"书的印刷看起来也不好,画面也不漂亮,内容的连惯性也不好,所以让人看起来一点也不能吸引孩子的兴趣和眼球,只是实在不想睡觉看一下,起催眠作用.作为家长来说,我也不爱讲这几本书.",尽管书的初衷或许是为了吸引孩子，但印刷质量差、画面不美观、内容缺乏连贯性，根本无法引起孩子的兴趣，甚至只能当作催眠工具。作为家长，我也不爱讲这几本书。,0,transition,llm_api,True,
132,一本最近几年来少有能让我拿到手就一口气读完的好书。赵老师一生的思想历程，读之惊心动魄。很喜欢赵老师提出的“天文地文人文神文”的大尺度框架，拥有这样开阔的认知领域，拥有属于自己的科学，艺术和哲学的宗教，的确能让人生充实而幸福。天地者，万物之逆旅，光阴者，百代之过客，浮生若梦，为欢几何，相信这本书值得每一位追求丰富内心世界的读者阅读。,近几年来少见能让人一翻开就停不下来的书。赵老师一生的思考轨迹，读来别有一番触动。其中提出的‘天文地文人文神文’框架尤其令人印象深刻——拥有这样开阔的视野，建立起属于自己的科学、艺术与哲学之间的联结，确实能让生活更趋充实。天地为逆旅，光阴若过客，浮生如梦，能有多少欢愉？或许，这本书正适合那些愿意细细探寻内心世界的人，值得反复品味。,1,implicit,llm_api,True,
207,帮朋友买的台式、笔记本清一色的HP，配置挺不错的，性价比突出。HP大品牌，4000多元的首选！,帮朋友购置的台式机与笔记本均为HP，配置符合预期，价格合理。作为品牌产品，在四千多元的价位区间，它通常会被列入考虑范围。,1,implicit,llm_api,True,
