source_id,source_text,aug_text,label,hard_type,gen_method
31,赠送的系统慢就改装XP算了，内装的备份是用GHOST的就好了，应该再配一根USB电脑连接线就更理想了。,赠送的系统慢就改装XP算了，内装的备份是用GHOST的就好了，应该再配一根USB电脑连接线就更理想了。无语,0,colloquial,template
42,这样的男人，温柔的过了头，找不到一丝男人的气概。只会说：这是好的。。。这也是好的。。。无法欣赏这样的文笔优美在何处。爱情也是奇怪，张爱玲爱上了这样的一个人，隐隐地，大概是一辈子的影子。,这样的男人，温柔的过了头，找不到一丝男人的气概。只会说：这是好的。。。这也是好的。。。无法欣赏这样的文笔优美在何处。爱情也是奇怪，张爱玲爱上了这样的一个人，隐隐地，大概是一辈子的影子。哈哈,0,colloquial,template
60,1、风扇的噪音不大，应该是改装XP后噪音才会大点，VISTA可能有个调节的功能吧 2、散热很好，这个不用解释了 3、机器性能不错，主流配置这个价钱也合理了,1、风扇的噪音不大，应该是改装XP后噪音才会大点，VISTA可能有个调节的功能吧 2、散热很好，这个不用解释了 3、机器性能不错，主流配置这个价钱也合理了啊,1,colloquial,template
65,有点道理。。。“我们到底是在为谁工作呢？”如果不尽快弄清这个问题，不调整好自己的心态，今生我们很可能与成功无缘。在当今这个浮躁的年代，我们需要用什么去重新点燃工作激情，实现自我价值？是耳提面命的空洞口号，还是触动心底的反思？如果每一位员工都能从内心深处承认并接受“我们在为他人工作的同时，也在为自己工作”这样一个朴素的人生理念，责任、忠诚、敬业将不再是空洞的口号。,有点道理。。。“我们到底是在为谁工作呢？”如果不尽快弄清这个问题，不调整好自己的心态，今生我们很可能与成功无缘。在当今这个浮躁的年代，我们需要用什么去重新点燃工作激情，实现自我价值？是耳提面命的空洞口号，还是触动心底的反思？如果每一位员工都能从内心深处承认并接受“我们在为他人工作的同时，也在为自己工作”这样一个朴素的人生理念，责任、忠诚、敬业将不再是空洞的口号。吧,1,colloquial,template
75,外观很有特点，长城外观，显然白天为了省电，大堂不开灯。。。似乎感觉上入住的人数有点少，另外就是入住手续有点意思，开什么入住通知书等等。。。,外观很有特点，长城外观，显然白天为了省电，大堂不开灯。。。似乎感觉上入住的人数有点少，另外就是入住手续有点意思，开什么入住通知书等等。。。哈哈,1,colloquial,template
8,在当当上买了很多书，都懒于评论。但这套书真的很好，3册都非常精彩。我家小一的女儿，认字多，非常喜爱，每天睡前必读。她还告诉我，学校的语文课本中也有相同的文章。我还借给我的同事的女儿，我同事一直头疼她女儿不爱看书，但这套书，她女儿非常喜欢。两周就看完了。建议买。很少写评论，但忍不住为这套书写下。也给别的读者参考下。,非常在当当上买了很多书，都懒于评论。但这套书真的很好，3册都非常精彩。我家小一的女儿，认字多，非常喜爱，每天睡前必读。她还告诉我，学校的语文课本中也有相同的文章。我还借给我的同事的女儿，我同事一直头疼她女儿不爱看书，但这套书，她女儿非常喜欢。两周就看完了。建议买。很少写评论，但忍不住为这套书写下。也给别的读者参考下。,1,degree,template
18,价廉物美的好选择，晚上到机住十分合适，服务很热情，房间没地毯很清爽，海景很好看,非常价廉物美的好选择，晚上到机住十分合适，服务很热情，房间没地毯很清爽，海景很好看,1,degree,template
20,3999的时候抢购的 运气真好 这个价格还有什么号说的 品牌和价格都很不错,稍微3999的时候抢购的 运气真好 这个价格还有什么号说的 品牌和价格都很不错,0,degree,template
21,"这次入住少林宾馆还是比较满意的,宾馆的位置比较好找,从客运站打部计程车只要三几分钟,5块钱就可以到了,房间比较干净,算是比较宽敞的,洗澡的热水也挺舒服,最好的地方是宾馆外面有一条很旺的小吃街,晚上6点左右就开了,很多麻辣烫之类的小吃,而且有起码二三十档,选择很多,解决吃的问题很方便,而且价格也相当评议,我和我朋友一起,两个人十来块钱就吃得好饱了:)","有点这次入住少林宾馆还是比较满意的,宾馆的位置比较好找,从客运站打部计程车只要三几分钟,5块钱就可以到了,房间比较干净,算是比较宽敞的,洗澡的热水也挺舒服,最好的地方是宾馆外面有一条很旺的小吃街,晚上6点左右就开了,很多麻辣烫之类的小吃,而且有起码二三十档,选择很多,解决吃的问题很方便,而且价格也相当评议,我和我朋友一起,两个人十来块钱就吃得好饱了:)",1,degree,template
24,这个价格这种房间环境很不错，感觉很干净^_^ 兴旺楼给我个人感觉很雅...下次来，肯定还定这里。。。,非常这个价格这种房间环境很不错，感觉很干净^_^ 兴旺楼给我个人感觉很雅...下次来，肯定还定这里。。。,1,degree,template
